"","campaign_id","date","time","timezone","advertiser_id","name.x","budget","name.y"
"1",99870,"2018-11-01","00:05:00","UTC",11354,"Christmas cheer",15000,"Coco Cola"
"2",99870,"2018-11-02","18:00:00","Eastern time",11354,"Christmas cheer",15000,"Coco Cola"
"3",99870,"2018-11-05","15:30:00","Eastern time",11354,"Christmas cheer",15000,"Coco Cola"
"4",99870,"2018-11-02","01:00:00","Pacific time",11354,"Christmas cheer",15000,"Coco Cola"
"5",56444,"2018-11-01","18:35:00","Pacific time",73453,"Run of network",1000,"Ninetendo"
"6",56444,"2018-11-02","02:10:00","Pacific time",73453,"Run of network",1000,"Ninetendo"
"7",56444,"2018-11-04","15:00:00","Pacific time",73453,"Run of network",1000,"Ninetendo"
"8",56444,"2018-11-05","07:45:00","Pacific time",73453,"Run of network",1000,"Ninetendo"
"9",55112,"2018-11-05","12:50:00","Eastern time",34523,"Q4 performance",250000,"Lever Brows"
"10",55112,"2018-11-03","06:50:00","UTC",34523,"Q4 performance",250000,"Lever Brows"
"11",55112,"2018-11-03","16:35:00","UTC",34523,"Q4 performance",250000,"Lever Brows"
"12",55112,"2018-11-05","16:30:00","UTC",34523,"Q4 performance",250000,"Lever Brows"
"13",55112,"2018-11-02","04:30:00","UTC",34523,"Q4 performance",250000,"Lever Brows"
"14",55112,"2018-11-05","19:25:00","UTC",34523,"Q4 performance",250000,"Lever Brows"
